128hn	160hn	192hn	224hn	256hn	288hn	320hn
0.9478	0.9518	0.9558	0.9530	0.9565	0.9565	0.9582
0.9402	0.9473	0.9480	0.9447	0.9480	0.9463	0.9494
0.9468	0.9489	0.9468	0.9516	0.9497	0.9523	0.9518
0.9380	0.9425	0.9454	0.9442	0.9451	0.9440	0.9444
0.9463	0.9447	0.9487	0.9513	0.9497	0.9497	0.9451
0.9442	0.9482	0.9451	0.9489	0.9475	0.9501	0.9468
0.9442	0.9451	0.9506	0.9506	0.9482	0.9561	0.9506
0.9409	0.9449	0.9421	0.9411	0.9466	0.9470	0.9442
0.9399	0.9406	0.9475	0.9444	0.9461	0.9487	0.9416
0.9402	0.9418	0.9461	0.9461	0.9497	0.9520	0.9480
